cle_interop;id_ban_commune;id_ban_toponyme;id_ban_adresse;voie_nom;lieudit_complement_nom;numero;suffixe;certification_commune;commune_insee;commune_nom;position;long;lat;x;y;cad_parcelles;source;date_der_maj
13087_xxxx_00000;b745cbaf-5d3a-4236-8baf-79763e462943;753455d1-b3af-47f4-822a-f20afd839a91;e423a8d7-93d2-46ff-ba5f-5de5478b624a;Chemin du Clos du Cengle;;0;;1;13087;Rousset;segment;5.615654;43.503929;911579.06;6270709.67;;commune;2024-06-04
13087_xxxx_00000;b745cbaf-5d3a-4236-8baf-79763e462943;085a0451-3cb0-4ea2-b5b8-729a3a6cd68f;2b147643-dced-4b70-b69f-ecfade54f025;Impasse Evariste Gallois;;0;;1;13087;Rousset;segment;5.609957;43.465995;911257.74;6266480.44;;commune;2024-06-04
13087_xxxx_00000;b745cbaf-5d3a-4236-8baf-79763e462943;f28d2e00-61bd-4738-975d-491726b47986;15a2d63f-8f5c-436a-9a13-41675ce366dd;Route du Regagnas;;0;;1;13087;Rousset;segment;5.627896;43.473756;912680.54;6267390.76;;commune;2024-06-04
13087_xxxx_00000;b745cbaf-5d3a-4236-8baf-79763e462943;3668e5fa-61cb-4c18-9417-ac3d9afaead5;3f413cff-012d-4306-ba08-79aca38b7379;Chemin de Cabriliverni;;0;;1;13087;Rousset;segment;5.64589;43.472379;914141.43;6267286.47;;commune;2024-06-04
13087_xxxx_00000;b745cbaf-5d3a-4236-8baf-79763e462943;c5e82daf-906b-4a8c-bed1-80a7e1ac94ed;f3a6eac8-8968-4d70-8b14-cc9c4e9749be;Chemin Crois en Dieu;;0;;1;13087;Rousset;segment;5.588373;43.469316;909499.25;6266791.85;;commune;2024-06-04
13087_xxxx_00000;b745cbaf-5d3a-4236-8baf-79763e462943;03609776-b5e5-4139-84e3-410b01ada486;ef466e3c-6945-46dc-a25a-9adac80d74a1;Impasse Théodore Maiman;;0;;1;13087;Rousset;segment;5.603909;43.469845;910754.32;6266891.99;;commune;2024-06-04
13087_xxxx_00000;b745cbaf-5d3a-4236-8baf-79763e462943;89b56799-4161-4a12-b4eb-e577a72fd3c4;812d5ad9-2e96-4315-8432-ea9d5791fa15;Chemin des Taillades;;0;;1;13087;Rousset;segment;5.649468;43.493861;914350.77;6269682.45;;commune;2024-06-04
13087_xxxx_00000;b745cbaf-5d3a-4236-8baf-79763e462943;5a64c77b-c308-45c3-ab75-4e6ba3b958c3;ee59d141-d03d-4519-9f3e-e1e85984f769;Boulevard de la Cairanne;;0;;1;13087;Rousset;segment;5.622485;43.479888;912220.2;6268057.41;;commune;2024-06-04
13087_xxxx_00000;b745cbaf-5d3a-4236-8baf-79763e462943;620f0a10-f882-4c99-ae8d-eb23884bf5a4;94a09878-93ae-4023-a853-113bff122612;Chemin du Bassin;;0;;1;13087;Rousset;segment;5.618753;43.474915;911936.58;6267494.93;;commune;2024-06-04
13087_xxxx_00000;b745cbaf-5d3a-4236-8baf-79763e462943;9f96cef7-52b8-4d73-a15e-d881b3e63bfc;a5274947-cc43-4f4c-a2cb-41eef147888b;Rue Fortuné NEGREL (1904-1962);;0;;1;13087;Rousset;segment;5.624388;43.479614;912375.1;6268032.1;;commune;2024-06-04
13087_xxxx_00000;b745cbaf-5d3a-4236-8baf-79763e462943;1c7843d4-856d-4356-ac53-5980a46e61e6;83bb39b2-ac27-413f-b81a-bffc245cc2b2;Avenue Robert Bienvenu;;0;;1;13087;Rousset;segment;5.624641;43.477993;912401.54;6267852.69;;commune;2024-06-04
